Sexo;Ocupación;Tipo de sector;Periodo;Total
Ambos sexos;Total;Total;2024T3;21.823
Ambos sexos;Total;Total;2024T2;21.684,7
Ambos sexos;Total;Total;2024T1;21.250
Ambos sexos;Total;Total;2023T4;21.389,7
Ambos sexos;Total;Total;2023T3;21.446,5
Ambos sexos;Total;Total;2023T2;21.258,4
Ambos sexos;Total;Total;2023T1;20.634,2
Ambos sexos;Total;Total;2022T4;20.640,7
Ambos sexos;Total;Total;2022T3;20.745,4
Ambos sexos;Total;Total;2022T2;20.607,2
Ambos sexos;Total;Total;2022T1;20.196,7
Ambos sexos;Total;Total;2021T4;20.274,8
Ambos sexos;Total;Total;2021T3;20.103,3
Ambos sexos;Total;Total;2021T2;19.716,1
Ambos sexos;Total;Total;2021T1;19.239,6
Ambos sexos;Total;Total;2020T4;19.344,3
Ambos sexos;Total;Total;2020T3;19.176,9
Ambos sexos;Total;Total;2020T2;18.607,2
Ambos sexos;Total;Total;2020T1;19.681,3
Ambos sexos;Total;Total;2019T4;19.966,9
Ambos sexos;Total;Total;2019T3;19.874,3
Ambos sexos;Total;Total;2019T2;19.804,9
Ambos sexos;Total;Total;2019T1;19.471,1
Ambos sexos;Total;Total;2018T4;19.564,6
Ambos sexos;Total;Total;2018T3;19.528
Ambos sexos;Total;Total;2018T2;19.344,1
Ambos sexos;Total;Total;2018T1;18.874,2
Ambos sexos;Total;Total;2017T4;18.998,4
Ambos sexos;Total;Total;2017T3;19.049,2
Ambos sexos;Total;Total;2017T2;18.813,3
Ambos sexos;Total;Total;2017T1;18.438,3
Ambos sexos;Total;Total;2016T4;18.508,1
Ambos sexos;Total;Total;2016T3;18.527,5
Ambos sexos;Total;Total;2016T2;18.301
Ambos sexos;Total;Total;2016T1;18.029,6
Ambos sexos;Total;Total;2015T4;18.094,2
Ambos sexos;Total;Total;2015T3;18.048,7
Ambos sexos;Total;Total;2015T2;17.866,5
Ambos sexos;Total;Total;2015T1;17.454,8
Ambos sexos;Total;Total;2014T4;17.569,1
Ambos sexos;Total;Total;2014T3;17.504
Ambos sexos;Total;Total;2014T2;17.353
Ambos sexos;Total;Total;2014T1;16.950,6
Ambos sexos;Total;Total;2013T4;17.135,2
Ambos sexos;Total;Total;2013T3;17.230
Ambos sexos;Total;Total;2013T2;17.160,6
Ambos sexos;Total;Total;2013T1;17.030,2
Ambos sexos;Total;Total;2012T4;17.339,4
Ambos sexos;Total;Total;2012T3;17.667,7
Ambos sexos;Total;Total;2012T2;17.758,5
Ambos sexos;Total;Total;2012T1;17.765,1
Ambos sexos;Total;Total;2011T4;18.153
Ambos sexos;Total;Total;2011T3;18.484,5
Ambos sexos;Total;Total;2011T2;18.622
Ambos sexos;Total;Total;2011T1;18.426,2
Ambos sexos;Total;Empleo público;2024T3;3.540,8
Ambos sexos;Total;Empleo público;2024T2;3.557,9
Ambos sexos;Total;Empleo público;2024T1;3.551
Ambos sexos;Total;Empleo público;2023T4;3.576,6
Ambos sexos;Total;Empleo público;2023T3;3.516,2
Ambos sexos;Total;Empleo público;2023T2;3.503,9
Ambos sexos;Total;Empleo público;2023T1;3.495
Ambos sexos;Total;Empleo público;2022T4;3.497,2
Ambos sexos;Total;Empleo público;2022T3;3.487,8
Ambos sexos;Total;Empleo público;2022T2;3.431,9
Ambos sexos;Total;Empleo público;2022T1;3.450,2
Ambos sexos;Total;Empleo público;2021T4;3.457,5
Ambos sexos;Total;Empleo público;2021T3;3.458,9
Ambos sexos;Total;Empleo público;2021T2;3.409
Ambos sexos;Total;Empleo público;2021T1;3.369,7
Ambos sexos;Total;Empleo público;2020T4;3.379,1
Ambos sexos;Total;Empleo público;2020T3;3.337,1
Ambos sexos;Total;Empleo público;2020T2;3.225,9
Ambos sexos;Total;Empleo público;2020T1;3.248
Ambos sexos;Total;Empleo público;2019T4;3.253,3
Ambos sexos;Total;Empleo público;2019T3;3.228,7
Ambos sexos;Total;Empleo público;2019T2;3.194,5
Ambos sexos;Total;Empleo público;2019T1;3.213,6
Ambos sexos;Total;Empleo público;2018T4;3.211
Ambos sexos;Total;Empleo público;2018T3;3.167,5
Ambos sexos;Total;Empleo público;2018T2;3.117,8
Ambos sexos;Total;Empleo público;2018T1;3.105,8
Ambos sexos;Total;Empleo público;2017T4;3.074,7
Ambos sexos;Total;Empleo público;2017T3;3.062,1
Ambos sexos;Total;Empleo público;2017T2;3.003,8
