TEAM_ABBREVIATION,TEAM_NAME,GAME,FTM,FGM,FG3M,FG2M
ATL,Atlanta Hawks,9,20,41,12,28
BKN,Brooklyn Nets,8,17,40,14,26
BOS,Boston Celtics,9,19,42,19,23
CHA,Charlotte Hornets,8,15,39,16,23
CHI,Chicago Bulls,8,17,40,15,24
CLE,Cleveland Cavaliers,9,14,46,15,31
DAL,Dallas Mavericks,8,15,42,13,29
DEN,Denver Nuggets,8,23,41,12,29
DET,Detroit Pistons,9,14,39,11,28
GSW,Golden State Warriors,8,17,43,16,27
HOU,Houston Rockets,8,17,41,12,29
IND,Indiana Pacers,8,18,44,11,32
LAC,LA Clippers,8,16,40,12,28
LAL,Los Angeles Lakers,8,23,40,11,29
MEM,Memphis Grizzlies,9,18,44,11,32
MIA,Miami Heat,7,18,38,14,23
MIL,Milwaukee Bucks,7,17,40,13,27
MIN,Minnesota Timberwolves,7,17,39,16,23
NOP,New Orleans Pelicans,9,17,40,11,28
NYK,New York Knicks,7,14,42,14,27
OKC,Oklahoma City Thunder,8,14,42,14,28
ORL,Orlando Magic,9,19,37,11,25
PHI,Philadelphia 76ers,7,20,37,11,25
PHX,Phoenix Suns,8,20,39,15,24
POR,Portland Trail Blazers,8,18,39,11,27
SAC,Sacramento Kings,8,21,42,11,31
SAS,San Antonio Spurs,8,16,38,11,26
TOR,Toronto Raptors,9,18,44,10,33
UTA,Utah Jazz,7,22,35,11,24
WAS,Washington Wizards,6,19,41,12,28
