TEAM_ABBREVIATION,TEAM_NAME,GAME,FTM,FGM,FG3M,FG2M
ATL,Atlanta Hawks,9,20.666666666666668,41.22222222222222,12.777777777777779,28.444444444444443
BKN,Brooklyn Nets,8,17.875,40.625,14.375,26.25
BOS,Boston Celtics,9,19.333333333333332,42.0,19.0,23.0
CHA,Charlotte Hornets,8,15.0,39.875,16.125,23.75
CHI,Chicago Bulls,8,17.125,40.0,15.875,24.125
CLE,Cleveland Cavaliers,9,14.333333333333334,46.77777777777778,15.333333333333334,31.444444444444443
DAL,Dallas Mavericks,8,15.5,42.375,13.25,29.125
DEN,Denver Nuggets,8,23.25,41.875,12.0,29.875
DET,Detroit Pistons,9,14.88888888888889,39.888888888888886,11.666666666666666,28.22222222222222
GSW,Golden State Warriors,8,17.5,43.75,16.125,27.625
HOU,Houston Rockets,8,17.625,41.875,12.375,29.5
IND,Indiana Pacers,8,18.125,44.25,11.75,32.5
LAC,LA Clippers,8,16.0,40.5,12.125,28.375
LAL,Los Angeles Lakers,8,23.125,40.875,11.0,29.875
MEM,Memphis Grizzlies,9,18.333333333333332,44.22222222222222,11.88888888888889,32.333333333333336
MIA,Miami Heat,7,18.571428571428573,38.142857142857146,14.285714285714286,23.857142857142858
MIL,Milwaukee Bucks,7,17.285714285714285,40.714285714285715,13.0,27.714285714285715
MIN,Minnesota Timberwolves,7,17.0,39.285714285714285,16.142857142857142,23.142857142857142
NOP,New Orleans Pelicans,9,17.666666666666668,40.0,11.666666666666666,28.333333333333332
NYK,New York Knicks,7,14.857142857142858,42.0,14.428571428571429,27.571428571428573
OKC,Oklahoma City Thunder,8,14.625,42.875,14.0,28.875
ORL,Orlando Magic,9,19.88888888888889,37.111111111111114,11.666666666666666,25.444444444444443
PHI,Philadelphia 76ers,7,20.857142857142858,37.285714285714285,11.714285714285714,25.571428571428573
PHX,Phoenix Suns,8,20.125,39.625,15.125,24.5
POR,Portland Trail Blazers,8,18.125,39.25,11.5,27.75
SAC,Sacramento Kings,8,21.875,42.875,11.125,31.75
SAS,San Antonio Spurs,8,16.375,38.25,11.5,26.75
TOR,Toronto Raptors,9,18.11111111111111,44.55555555555556,10.777777777777779,33.77777777777778
UTA,Utah Jazz,7,22.142857142857142,35.714285714285715,11.285714285714286,24.428571428571427
WAS,Washington Wizards,6,19.0,41.0,12.666666666666666,28.333333333333332
